model,task,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
Efficient-Large-Model/NVILA-Lite-2B,Relation,27,650,0.5464276592548077,0.37329439603365383,0.08028090256911058
Zhoues/RoboRefer-2B-SFT,Count,0,788,nan,nan,nan
Zhoues/RoboRefer-2B-SFT,Count,1,788,0.130125171642013,0.7985288358581852,0.07134122896920606
Zhoues/RoboRefer-2B-SFT,Count,2,788,0.4559679370241117,0.4939792071502221,0.05006307998889594
Zhoues/RoboRefer-2B-SFT,Count,3,788,0.3975036930916878,0.5460459133090102,0.0564422607421875
Zhoues/RoboRefer-2B-SFT,Count,4,788,0.4554960763999048,0.48356512234295684,0.0609373295972795
Zhoues/RoboRefer-2B-SFT,Count,5,788,0.4866968145225254,0.4635561250793147,0.04974365234375
Zhoues/RoboRefer-2B-SFT,Count,6,788,0.4146898918345495,0.5251145725927983,0.06020800595356123
Zhoues/RoboRefer-2B-SFT,Count,7,788,0.5485688030417195,0.42076583320114214,0.030654752314998413
Zhoues/RoboRefer-2B-SFT,Count,8,788,0.3993632515069797,0.44350282310834394,0.15713485485406092
Zhoues/RoboRefer-2B-SFT,Count,9,788,0.471383496589467,0.45381094840577413,0.07479885507961215
Zhoues/RoboRefer-2B-SFT,Count,10,788,0.32605011451062815,0.6175543305837563,0.056405004511024745
Zhoues/RoboRefer-2B-SFT,Count,11,788,0.4043018321700508,0.5345954701380076,0.06110285260350571
Zhoues/RoboRefer-2B-SFT,Count,12,788,0.42143319221922587,0.4472055193131345,0.13135865497105012
Zhoues/RoboRefer-2B-SFT,Count,13,788,0.37379881573207485,0.5584648635786802,0.06773686287971922
Zhoues/RoboRefer-2B-SFT,Count,14,788,0.23831796404068845,0.7484044108899112,0.013274526838118654
Zhoues/RoboRefer-2B-SFT,Count,15,788,0.342929588356599,0.5549725372779187,0.10209864892330267
Zhoues/RoboRefer-2B-SFT,Count,16,788,0.15479615497105012,0.6896024597477792,0.15560014598865798
Zhoues/RoboRefer-2B-SFT,Count,17,788,0.12417552192804172,0.8359610465577412,0.039854456325472916
Zhoues/RoboRefer-2B-SFT,Count,18,788,0.339657081565276,0.5652679598270939,0.09508262673005234
Zhoues/RoboRefer-2B-SFT,Count,19,788,0.5143370652561865,0.4610403612785533,0.024631500244140625
Zhoues/RoboRefer-2B-SFT,Count,20,788,0.4544621966211929,0.5199993927466687,0.025533163002904903
Zhoues/RoboRefer-2B-SFT,Count,21,788,0.6199294346843274,0.32667673178735723,0.05338070477325904
Zhoues/RoboRefer-2B-SFT,Count,22,788,0.44150973092480966,0.5512577579711294,0.00723672276220951
Zhoues/RoboRefer-2B-SFT,Count,23,788,0.5166241795883566,0.37542786574000636,0.10795996031785374
Zhoues/RoboRefer-2B-SFT,Count,24,788,0.5953994983343909,0.28894910473508884,0.115652636223033
Zhoues/RoboRefer-2B-SFT,Count,25,788,0.5900971853188451,0.3964050602791878,0.013504851287996708
Zhoues/RoboRefer-2B-SFT,Count,26,788,0.5387192159739848,0.41435466320986675,0.046928347669882214
Zhoues/RoboRefer-2B-SFT,Count,27,788,0.49797034868734136,0.4317118843194797,0.07031478494557027
Zhoues/RoboRefer-2B-SFT,Relation,0,650,nan,nan,nan
Zhoues/RoboRefer-2B-SFT,Relation,1,650,0.10948476938100962,0.8308240685096154,0.059688814603365385
Zhoues/RoboRefer-2B-SFT,Relation,2,650,0.4329379507211538,0.5170966045673077,0.049964153583233174
Zhoues/RoboRefer-2B-SFT,Relation,3,650,0.3961065204326923,0.5369016676682692,0.06698636568509615
Zhoues/RoboRefer-2B-SFT,Relation,4,650,0.4381126051682692,0.49184344951923076,0.07004854642427885
Zhoues/RoboRefer-2B-SFT,Relation,5,650,0.4794170673076923,0.4703759765625,0.05021174504206731
Zhoues/RoboRefer-2B-SFT,Relation,6,650,0.45398399939903844,0.48359299879807693,0.06240825946514423
Zhoues/RoboRefer-2B-SFT,Relation,7,650,0.6315790264423077,0.34210862379807694,0.026313194861778848
Zhoues/RoboRefer-2B-SFT,Relation,8,650,0.4570229867788462,0.40856745793269234,0.13440964918870194
Zhoues/RoboRefer-2B-SFT,Relation,9,650,0.5263390174278846,0.4108807842548077,0.06277263934795672
Zhoues/RoboRefer-2B-SFT,Relation,10,650,0.4089426832932692,0.5385317758413461,0.05251690204326923
